"ï..plotid","sampleid","lon","lat","Land.cover.in.2000.","Type.of.forest.","Type.of.non.forest.land.cover.","Type.of.crop.","Was.there.a.forest.change.during.the.time.period.of.interest.","Year.of.first.change.","Was.there.a.second.forest.change.","Type.of.change...second.","Driver.of.degradation...second.change.","Driver.of.deforestation...second.change.","Year.of.second.change.","Was.there.a.third.forest.change.","Type.of.change...third.","Driver.of.deforestation...third.change.","Driver.of.degradation...third.change.","Were.there.more.than.3.forest.changes.2000.2018.","Please.describe.possible.extra.changes..1.","Year.of.third.change.","Type.of.change...first.","Driver.of.deforestation...first.","Driver.of.degradation...first.change.","Land.cover.end.of.2018.","Type.of.forest...2018.","Type.of.non.forest.land.cover...2018.","Type.of.crop...2018.","Is.this.a.mixed.land.cover.pixel.","Level.of.confidence.in.interpretation","Notes..reasoning..low.confidence.causes"
1,1,121.2112533,17.0788151,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","Still stable forest even if images in GE are only available in 2010, indices say it was forest throughout."
8,8,121.1985871,18.18670734,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","yes","high","Around 30 of the pixel is part of the stream bed."
13,13,121.9685331,14.7495734,"forest","inland forest","","","yes",2017,"no","","","",NA,"","",NA,NA,"","",NA,"Deforestation","Conversion of forests (plantations, agroforestry, fishpond)","","non-forest","","perennial crop","unsure","yes","medium","The crops are not apparent yet in the 2017 image in GE but there is clearing already."
19,19,121.2179907,18.2236281,"non-forest","","shrubs","","yes",2002,"yes","Reforestation","","",2006,"no","",NA,NA,"","",NA,"Degradation","","Conversion of forests (plantations, agroforestry, fishpond)","forest","inland forest","","","no","medium","none"
24,24,121.9871282,13.22881545,"non-forest","","shrubs","","N/A non-forest entire time",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","non-forest","","annual crop","","yes","medium","Mix of barren and shrub"
29,29,121.2158347,17.35531654,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","medium","No deforestation happened in first quarter. Only fringe of cloud cover in 2004."
30,30,120.8517476,16.16118603,"non-forest","","annual crop","","N/A non-forest entire time",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","non-forest","","annual crop","","yes","high","mix of annual and perennial"
37,37,120.8495916,13.44926202,"forest","inland forest","","","yes",2002,"no","","","",NA,"","",NA,NA,"","",NA,"Deforestation","Conversion of forests (plantations, agroforestry, fishpond)","","non-forest","","annual crop","","yes","low","part of plot is agricultural and remaining covered with trees"
38,38,122.3016284,11.15532411,"forest","inland forest","","","yes",2017,"no","","","",NA,"","",NA,NA,"","",NA,"Deforestation","Conversion of forests (plantations, agroforestry, fishpond)","","non-forest","","annual crop","","yes","medium","mix of annual and perennial"
41,41,120.4876604,16.49859326,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
42,42,125.9522021,8.23696725,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
44,44,125.63339,10.19511491,"forest","inland forest","","","yes",2008,"yes","Reforestation","","",2012,"no","",NA,NA,"","",NA,"Degradation","","Unsure","forest","inland forest","","","no","high","none"
55,55,125.6153338,9.152709851,"non-forest","","shrubs","","yes",2011,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","forest","inland forest","","","no","high","none"
68,68,125.3024506,12.10960444,"forest","inland forest","","","yes",2004,"yes","Reforestation","","",2015,"no","",NA,NA,"","",NA,"Deforestation","Conversion of forests (plantations, agroforestry, fishpond)","","non-forest","","perennial crop","unsure","no","high","none"
71,71,120.4162443,15.17618333,"non-forest","","shrubs","","yes",2008,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","forest","inland forest","","","no","high","none"
81,81,120.881931,13.39536311,"non-forest","","shrubs","","yes",2004,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","forest","inland forest","","","no","high","none"
82,82,120.2947023,15.26565553,"non-forest","","shrubs","","N/A non-forest entire time",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","non-forest","","shrubs","","no","high","none"
89,89,121.2117923,13.12964145,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","medium","none"
91,91,122.3172591,16.91172845,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","Although there are not images in GE in early 2000s, NDFI very little movement (are all near 1). The plot is located in the middle of the stable forest in 2012 image without signs of disturbance in adjacennt or nearby areas. "
97,97,120.8981006,17.41783929,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
116,116,126.3483591,7.38590335,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","Plot is fully covered with trees the entire time."
119,119,121.2479046,16.2474243,"non-forest","","grassland","","yes",2008,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","non-forest","","perennial crop","unsure","yes","high","Mix of annual and crop"
124,124,124.7852905,6.909436924,"forest","inland forest","","","yes",2016,"no","","","",NA,"","",NA,NA,"","",NA,"Deforestation","Floods","","non-forest","","marshland/swamp","","no","high","In 2016, area had brown grass around. Good be marsh area after long inundation."
128,128,121.6238495,14.36931654,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","Its in the middle of stable forest."
142,142,120.930979,12.72324361,"forest","inland forest","","","yes",2005,"no","","","",NA,"","",NA,NA,"","",NA,"Deforestation","Conversion of forests (plantations, agroforestry, fishpond)","","non-forest","","perennial crop","fruit trees (mango, cashew, avocado, rambutan durian)","no","medium","none"
143,143,124.9434838,8.411060753,"forest","inland forest","","","yes",2016,"no","","","",NA,"","",NA,NA,"","",NA,"Deforestation","Forest / brush fire","","non-forest","","shrubs","","no","high","The plot is at the edge of the forest patch and adjacent to it is cleared land."
147,147,125.0655649,7.713069777,"non-forest","","shrubs","","yes",2014,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","forest","inland forest","","","no","medium","none"
160,160,125.8608434,9.459394689,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
187,187,121.0134443,16.86807033,"non-forest","","shrubs","","yes",2010,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","forest","inland forest","","","no","medium","none"
191,191,124.3446669,8.192500644,"non-forest","","shrubs","","yes",2004,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","forest","inland forest","","","no","high","none"
206,206,125.6139864,5.897484756,"non-forest","","shrubs","","yes",2007,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","forest","inland forest","","","no","medium","Although there were no clear GE image in 2000-2007, indices showing a transition of increasing NDVI and a high DFI in around 2007."
229,229,123.8099896,8.372792521,"forest","inland forest","","","yes",2007,"yes","Reforestation","","",2013,"no","",NA,NA,"","",NA,"Deforestation","Unsure","","forest","inland forest","","","no","medium","none"
230,230,124.1250288,9.812971585,"non-forest","","shrubs","","yes",2008,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","forest","inland forest","","","no","high","none"
253,253,120.4491227,17.30815499,"forest","inland forest","","","yes",2000,"no","","","",NA,"","",NA,NA,"","",NA,"Deforestation","Conversion of forests (plantations, agroforestry, fishpond)","","non-forest","","shrubs","","no","medium","The deforestation happened later part of 2000 Based on the indces."
266,266,126.3483591,7.38590335,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
