"","Deforestation","multiple events","perennial crop","Reforestation","stable forest","stable nonforest"
"2/3 multiple events",2,11,14,3,17,9
"3+ multiple events",1,6,12,2,10,20
"Deforested E1 (agreement between maps)",3,0,4,0,1,2
"Deforested E2/3 (agreement between maps)",0,0,1,0,0,0
"Multiple events (relabeled from Def E1)",8,3,15,1,7,7
"Multiple events (relabeled from Def E2/3)",13,3,14,3,7,10
"Multiple events (relabeled from Ref E1)",0,1,11,5,4,4
"Multiple events (relabeled from Ref E2/3)",1,1,9,4,4,8
"Reforested E1 (agreement between maps)",0,1,4,8,10,3
"Reforested E2/3 (agreement between maps)",0,1,3,3,3,14
"stable forest",3,3,17,2,160,8
"stable nonforest",2,2,42,4,12,284
