"lon","lat","sampleid","SecondaryLabel","PLOTID","EMAIL","Confidence","ConfidenceReasoning","LC2000","ForestType2000","NonForestType2000","CropType2000","LC2018end","forestChangeEvent","Change1year","ChangeType1","DegradationDriver1","LossDriver1","SecondForestChangeEvent","Change2year","ChangeType2","DegradationDriver2","LossDriver2","ThirdForestChangeEvent","Change3year","ChangeType3","DegradationDriver3","LossDriver3","morethan3forestchanges","DescribeExtraChanges","ForestType2018","NonForestType2018","CropType2018","mixedLCpixel"
117.0330093,8.123779525,816,"","816","","LabelPerennial-MapREF23","none","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","coconut / other palm","no"
117.2574983,8.426421944,831,"","831","","",""," grassland"," and perennial ,,148198299,stable non forest,No,,NA,,,mixed of shrubs","","","medium","stable non forest",NA,"","","non-forest","shrubs","","","stable non forest","stable nonforest","N/A non-forest entire time",NA,"yes","","","","","non-forest","stable non forest","148198299",""
117.2874122,8.611025735,491,"","491","tgisorena@yahoo.com","medium","","forest","inland forest","","","forest","yes","2013","Deforestation","","Legal / illegal logging / poaching","yes","2015","Reforestation",NA,"","no",NA,"",NA,"","",NA,"inland forest","","","no"
117.3289143,8.309461294,393,"","393","","no","","forest","mangrove forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","mangrove forest","","","no"
117.3588282,8.521823027,565,"","565","","no","none","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
117.4647396,8.754396854,123,"","123","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","annual crop","","Not Measured"
117.5286098,8.780268334,310,"","310","","no","adjacent area had a bare soil image in 2010","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
117.547205,8.755474832,703,"","703","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
117.5544813,8.763829165,166,"","166","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
117.6283228,9.000714905,688,"","688","leizeldelacruz@gmail.com","high","","forest","inland forest","","","non-forest","yes","2007","Deforestation","","Conversion of forests (plantations, agroforestry, fishpond)","no",NA,"",NA,"","",NA,"",NA,"","",NA,"","annual crop","","no"
