PLOTIDd,LON,LAT,Modified_stratamap,old_strata,Intended_1A_yes2000,Intended_1B_no2000
2,125.93657173924214,8.90612240213797,55,50,50,50
3,120.79569197112859,17.421074623463454,55,50,50,50
4,117.74878822130901,9.032783167561103,55,50,50,50
9,121.87878978060641,17.778154976722348,55,50,50,50
22,120.95226884551934,18.27321329387802,55,50,50,50
26,121.10884571991,17.345073705108526,55,50,50,50
33,122.99934849803418,7.95453686002946,55,50,50,50
52,120.9476893487374,18.532737434289622,55,50,50,50
53,125.05936846180616,12.43434597876754,55,50,50,50
60,121.98254860301901,18.174577978575794,55,50,50,50
70,120.93394194018961,17.599746343573983,55,50,50,50
73,125.30730339857985,7.0544271804819285,55,50,50,50
83,126.03197420628062,8.231576349378999,17,50,80,80
92,121.10399421796383,17.182570685417797,55,50,50,50
101,120.64908564669342,16.89097669022981,55,50,50,50
109,126.2365176307032,7.173271141758369,55,50,50,50
118,121.22203108194962,15.480442631296434,55,50,50,50
126,119.03023576384619,10.39453912007083,55,50,50,50
130,125.08847301438199,11.672753814344254,55,50,50,50
132,121.95290449921572,13.342272462461763,53,50,41,41
135,124.8488899738814,10.767520627686313,55,50,50,50
145,124.4325214130159,12.439197480713691,27,50,80,80
146,122.05908461350037,16.297818149898333,55,50,50,50
148,117.74285761690794,8.843868892330814,55,50,50,50
150,122.07525331392016,17.74311981974542,55,50,50,50
151,125.02190755385617,10.504496092947754,55,50,50,50
156,121.89523048619044,18.981175849931518,55,50,50,50
166,117.55448289290513,8.763828028421463,55,50,50,50
167,121.64217650140739,16.333660404165933,55,50,50,50
184,124.71333330185665,8.146148891397083,55,50,50,50
185,122.17685393142293,16.578902043903348,55,50,50,50
193,121.12366777181164,17.480090825905815,55,50,50,50
196,121.03069105574626,18.391254616964837,55,50,50,50
205,123.4046718655903,8.33290942081856,55,50,50,50
207,125.45606346882384,6.190427301265203,55,50,50,50
210,120.9662838001303,17.42188172075413,55,50,50,50
231,125.4770836711898,6.2955283130949224,55,50,50,50
232,121.00077940587975,13.28998950261011,55,50,50,50
243,125.16500902486335,11.58354949777007,33,50,80,41
245,125.6840528465855,8.044008722666852,55,50,50,50
250,123.17856422847323,8.331018761971896,55,50,50,50
270,124.81789922155997,10.569442899791193,55,50,50,50
304,126.24352733755926,7.099700433477565,88,50,80,80
307,120.84662828246209,18.25273264273954,55,50,50,50
309,125.40351296290902,8.07230617795202,55,50,50,50
310,117.52861118859305,8.780268734005515,55,50,50,50
318,119.46331257635896,11.268781554407324,55,50,50,50
320,121.11827671863803,17.08447492134304,55,50,50,50
325,121.11046437359241,17.578186589980568,55,50,50,50
329,121.02691865625508,16.547639286417635,55,50,50,50
337,120.36665510417026,15.198551640000753,55,50,50,50
345,119.37356870855733,10.652716611964294,55,50,50,50
346,124.06035146179215,12.781995333298397,55,50,50,50
353,121.80872392575358,16.21804929115324,55,50,50,50
354,121.9572164499344,17.44398102557501,55,50,50,50
359,126.08775756045921,7.203726801953404,55,50,50,50
364,124.1325755215548,6.4809421939982546,55,50,50,50
376,121.54650648830572,16.00137711186525,55,50,50,50
385,122.06608986125535,17.550968237150332,55,50,50,50
389,124.82059251859623,11.023272368606701,55,50,50,50
392,125.5630506803992,7.839460839143183,55,50,50,50
393,117.32891480701551,8.30946346747954,55,50,50,50
398,124.44141731961753,12.362661470232348,55,50,50,50
402,122.25015709364052,16.86052548913583,55,50,50,50
403,125.36551250373155,11.225122495993036,55,50,50,50
410,121.5626751887255,15.634861300777265,55,50,50,50
414,125.45660302005135,7.688814569153569,55,50,50,50
418,121.1985851286106,15.924841101383908,55,50,50,50
440,122.11406087038831,17.28093399555576,55,50,50,50
448,126.34970745184388,7.572124353685942,55,50,50,50
458,121.02826530477319,18.36026386464339,55,50,50,50
470,122.25824144385042,17.318934454733224,55,50,50,50
475,122.12133812330754,17.402480172070593,55,50,50,50
482,123.14487572001444,10.462183683051606,55,50,50,50
487,121.28563569937596,16.210232487006547,55,50,50,50
495,124.43009566204283,8.23939315352569,55,50,50,50
497,124.90521733838854,6.095564385454195,57,50,80,80
512,125.90207613349268,8.941157559114895,55,50,50,50
518,124.41311986433234,12.306334105725215,55,50,50,50
519,122.18493828163284,16.49023727855663,55,50,50,50
522,120.88678248744841,16.609357704098382,55,50,50,50
531,122.15529417782949,17.262339544162888,55,50,50,50
535,121.31392869556008,14.807243227055606,55,50,50,50
539,123.14541527124192,9.259697901968854,55,50,50,50
545,119.4449856710293,10.952934508589646,55,50,50,50
552,122.00087104924764,17.636128149069048,55,50,50,50
564,121.57992299160023,16.115102025132334,55,50,50,50
579,125.31053624684361,7.764275936281032,55,50,50,50
587,125.28978359054086,11.428051725834301,55,50,50,50
604,122.07606041121085,18.074056463527963,55,50,50,50
605,124.96127269773142,10.44035638339499,55,50,50,50
608,122.04614876134431,6.574726007354329,55,50,50,50
615,121.96584035137177,16.4126266247214,55,50,50,50
622,125.68729015395031,9.110130734434176,55,50,50,50
628,125.18414302748367,11.498122039788152,55,50,50,50
636,120.12087837230641,15.759907871619049,55,50,50,50
643,121.96610789743498,17.79378412591468,55,50,50,50
651,121.93323094536792,16.501558936131328,55,50,50,50
659,124.33092079551314,7.609852807699146,55,50,50,50
670,126.3839310524291,7.654590968568371,55,50,50,50
671,125.77918776756074,9.021198423024247,55,50,50,50
673,124.02935625036964,8.06772668117013,55,50,50,50
674,122.24072163581145,17.042434516611152,55,50,50,50
678,120.96305095186653,17.324865059134307,55,50,50,50
682,119.87860203476956,12.2942098099609,55,50,50,50
684,118.53436143119775,9.684155272145313,55,50,50,50
687,124.9372871931649,12.12577618586909,55,50,50,50
716,125.6829782032316,8.202471796803158,55,50,50,50
719,124.8146663732962,7.980408564341554,55,50,50,50
723,117.93473719433878,9.110130734434176,55,50,50,50
724,120.98056630080445,16.6570567080671,55,50,50,50
737,122.19733458256141,11.51860269092663,55,50,50,50
747,125.3544628513211,7.053615624090202,55,50,50,50
752,121.40097926632546,15.437595129273875,55,50,50,50
754,125.53745098125137,10.299948209424084,55,50,50,50
755,125.50349492672936,8.607790705258228,55,50,50,50
776,125.0647550558787,11.655506011469525,55,50,50,50
785,120.9164265912517,17.58115189218111,55,50,50,50
788,124.15009087049275,6.42272862974552,55,50,50,50
789,121.42819761915568,15.858003635693807,55,50,50,50
790,120.84986113072588,18.503900427776983,55,50,50,50
805,124.5793952835143,6.119010338793213,55,50,50,50
808,120.93663969632695,16.541173589890143,55,50,50,50
820,121.99063295322891,16.23852994229172,55,50,50,50
823,121.33737464889909,16.191098484386217,55,50,50,50
828,118.25031669409324,9.203642542625985,55,50,50,50
829,120.03949085987892,15.50011618514424,55,50,50,50
830,122.30567290175591,16.862679234944647,55,50,50,50
833,122.17011622973119,17.513511788301393,55,50,50,50
842,121.0040122541435,16.96616605219301,47,50,70,70
847,125.96594829698225,8.749817532911534,55,50,50,50
849,123.26156593548207,10.697454772833515,55,50,41,50
854,120.9708632969122,17.833938330900956,55,50,50,50
865,124.4791457736307,7.88365944878494,55,50,50,50
868,125.9489680401707,9.07051608067536,55,50,50,50
886,121.63004774654206,14.375513063060975,55,50,50,50
